INSTNM,CITY,STABBR,ZIP,CARNEGIESIZE,INSTSIZE,LONGITUD,LATITUDE
KD Conservatory College of Film and Dramatic Arts,Dallas,TX,75207,1,1,-96.841975,32.808265
Kilgore College,Kilgore,TX,75662-3299,3,3,-94.871468,32.377821
Lamar University,Beaumont,TX,77705,4,4,-94.072244,30.042738
Lamar State College-Orange,Orange,TX,77630,2,2,-93.732235,30.0922
Lamar State College-Port Arthur,Port Arthur,TX,77640,2,2,-93.925886,29.880385
Laredo Beauty College Inc,Laredo,TX,78040,-2,-2,-99.480788,27.523791
Laredo College,Laredo,TX,78040-4395,3,4,-99.520772,27.506477
Texas A & M International University,Laredo,TX,78041-1900,3,3,-99.436043,27.571172
Lee College,Baytown,TX,77520,3,3,-94.978184,29.732505
LeTourneau University,Longview,TX,75602,2,2,-94.726394,32.46632
Lincoln College of Technology-Grand Prairie,Grand Prairie,TX,75052,2,2,-97.056391,32.701684
Lubbock Christian University,Lubbock,TX,79407-2099,2,2,-101.934426,33.575973
College of the Mainland,Texas City,TX,77591-2499,3,3,-94.999602,29.39581
University of Mary Hardin-Baylor,Belton,TX,76513-2599,3,2,-97.463471,31.066793
McLennan Community College,Waco,TX,76708,3,3,-97.171228,31.58947
McMurry University,Abilene,TX,79697,2,2,-99.748682,32.429776
Covenant School of Nursing and Allied Health,Lubbock,TX,79407,-2,1,-101.937872,33.5757
Midland College,Midland,TX,79705,3,3,-102.106153,32.029646
Midwestern State University,Wichita Falls,TX,76308-2099,3,3,-98.519386,33.874809
William Edge Institute,New Braunfels,TX,78130-8216,-2,1,-98.100952,29.698282
Wade College,Dallas,TX,75207,1,1,-96.819516,32.800854
Southern Careers Institute-Austin,Austin,TX,78744,2,1,-97.784318,30.226743
Tint School of Makeup & Cosmetology,Irving,TX,75061-4235,-2,1,-96.983082,32.829511
Navarro College,Corsicana,TX,75110,3,3,-96.498731,32.076061
Lone Star College System,The Woodlands,TX,77381-4399,5,5,-95.488103,30.18737
University of North Texas,Denton,TX,76203-1277,5,5,-97.148422,33.211178
Northeast Texas Community College,Mount Pleasant,TX,75455,2,2,-94.881855,33.104931
Oblate School of Theology,San Antonio,TX,78216-6693,1,1,-98.503113,29.505434
Ocean Corporation,Houston,TX,77099,-2,1,-95.57034,29.665467
Odessa College,Odessa,TX,79764,3,3,-102.383477,31.866812
Ogle School Hair Skin Nails-Arlington,Arlington,TX,76013,-2,1,-97.140906,32.720698
Ogle School Hair Skin Nails-Ft Worth,Fort Worth,TX,76132-3638,-2,1,-97.417657,32.681742
Our Lady of the Lake University,San Antonio,TX,78207-4689,2,2,-98.54365,29.426194
The University of Texas Rio Grande Valley,Edinburg,TX,78539-2999,5,5,-98.173567,26.306759
Texas Southmost College,Brownsville,TX,78520,3,3,-97.492241,25.899628
Panola College,Carthage,TX,75633-2397,2,2,-94.356355,32.156214
Paris Junior College,Paris,TX,75460,3,2,-95.529177,33.650929
Paul Quinn College,Dallas,TX,75241,2,1,-96.755778,32.678837
Prairie View A & M University,Prairie View,TX,77446,3,3,-95.989475,30.092425
Ranger College,Ranger,TX,76470,2,2,-98.685215,32.456773
Aviation Institute of Maintenance-Houston,Houston,TX,77061,-2,1,-95.28262,29.65852
Rice University,Houston,TX,77005-1827,3,3,-95.402035,29.717897
Saint Edward's University,Austin,TX,78704-6489,2,2,-97.754998,30.229618
St Philip's College,San Antonio,TX,78203-2098,4,4,-98.453285,29.41508
University of St Thomas,Houston,TX,77006-4696,3,2,-95.393102,29.736438
